W,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC. REQUIRE,,,,,,,,,,,
"MASTER
ITEM#",,MEAT,SEAFOOD,PRODUCE,GROCERY,BAKERY,HOT DELI,WAREHOUSE,GENERAL MARKET,SUBTENANTS,"MEAT
ITEM #","SEAFOOD
ITEM #","PRODUCE
ITEM #","GROCERY
ITEM #","BAKERY
ITEM #","HOT DELI
ITEM #","WAREHOUSE
ITEM #","GENERAL MARKET
ITEM #","SUBTENANTS
ITEM #",EQUIPMENT DESCRIPTION,SPEC. LINK,MANUFACTURER,MODEL,SUPPLY BY,INSTALL BY,ELECTRICAL,,,DATA/PHONE,PLUMBING - WATER,,,PLUMBING - GAS,,,FLOOR SINK,REMARKS
,,,,,,,,,,,,,,,,,,,,,,,,,,POWER,HEIGHT,NEMA,,COLD,HOT,ELEVATION,PIPE SIZE,BTU,ELEVATION,,
1,,,,,,x,x,,x,,,,,,BK#01,HD#01,,GM#01,,P.O.S. SYSTEM,O,DELL,OPTIPLEX GX260,OWNER,OWNER,120-20A-I.G.,WALKER DUCT,5-15R,YES,,,,,,,,
2,,,,,,,,,x,,,,,,,,,GM#02,,SCANNER SCALE,,TOLEDO,SCANWEIGH,OWNER,OWNER & G.C.,120-20A-I.G.,WALKER DUCT,5-15R,,,,,,,,,
3,,x,x,,,,x,,,,MT#01,SF#01,,,,HD#02,,,,COMPACT SCALE WITH PRINTER,O,BIZERBA,KHII 100 PRO,OWNER,OWNER,120-20A-I.G.,VERIFY,5-15R,,,,,,,,,
4,,,,,,,,,,,TBD,,,,,,,,,SELF SERVICE SCALE,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,TBD,,,,,,,,,FLOOR SCALE,,,,,,,,,,,,,,,,,
6,,,,,,,,,x,,,,,,,,,GM#03,,LOTTERY MACHINE - FREESTANDING,,STATE LOTTERY,VARIES,OWNER,STATE,120-20A-I.G.,VERIFY,5-15R,YES,,,,,,,,
7,,,,,,,,,x,,,,,,,,,GM#04,,STANDING DIGITAL SIGNAGE,,SHENZHEN YAXUNDA,YXD55P-WA,OWNER,OWNER,120-20A,STANDARD,5-15R,,,,,,,,,
8,,,,,,,,x,,,,,,,,,WH#01,,,BADGE TERMINAL,,KRONOS,INTOUCH 9100,OWNER,OWNER,120-20A,"48"" AFF",5-15R,YES,,,,,,,,
9,,,x,,,,,,,,,SF#02,,,,,,,,NUMBER SYSTEM DISPLAY,,TURN-O-MATIC,S3,OWNER,OWNER,120-20A,CEILING,5-15R,,,,,,,,,
10,,,,,,x,x,,,,,,,,BK#02,HD#03,,,,LED TV MENU BOARD,O,SAMSUNG,H5003,OWNER,OWNER,120-20A,CEILING,5-15R,,,,,,,,,
11,,,,x,,,,,,,,,PD#01,,,,,,,PRODUCE DRY TABLE,,CUSTOM,CUSTOM,OWNER,G.C.,,,,,,,,,,,,
